Method,Video_ID,mAP_Percentage
Autoregressive IL,VID02,43.54351028790217
Autoregressive IL,VID06,60.25182572435595
Autoregressive IL,VID111,45.79721437339224
Autoregressive IL,VID14,30.761587174439725
Autoregressive IL,VID23,45.20921426801057
Autoregressive IL,VID25,66.3030638563284
Autoregressive IL,VID50,56.08812818327367
Autoregressive IL,VID51,49.00299014924689
Autoregressive IL,VID66,63.17312556076977
Autoregressive IL,VID79,36.36841286307911
Autoregressive IL (IVT),VID02,28.10183476188218
Autoregressive IL (IVT),VID06,38.8849415082182
Autoregressive IL (IVT),VID111,29.55631602427633
Autoregressive IL (IVT),VID14,19.852718213889936
Autoregressive IL (IVT),VID23,29.176836242050417
Autoregressive IL (IVT),VID25,42.79025123095628
Autoregressive IL (IVT),VID50,36.19780077187618
Autoregressive IL (IVT),VID51,31.625239281520972
Autoregressive IL (IVT),VID66,40.77027148621087
Autoregressive IL (IVT),VID79,23.47121584991071
