Method,Video_ID,mAP_Percentage
Autoregressive IL,VID02,47.45481434041167
Autoregressive IL,VID06,56.29868533825343
Autoregressive IL,VID111,46.984197570875445
Autoregressive IL,VID14,35.07659497614218
Autoregressive IL,VID23,46.66372981812242
Autoregressive IL,VID25,66.04027110289053
Autoregressive IL,VID50,52.802811555084396
Autoregressive IL,VID51,47.72828453360265
Autoregressive IL,VID66,66.97824176882541
Autoregressive IL,VID79,39.729402880309316
Autoregressive IL (IVT),VID02,0.0
Autoregressive IL (IVT),VID06,0.0
Autoregressive IL (IVT),VID111,0.0
Autoregressive IL (IVT),VID14,0.0
Autoregressive IL (IVT),VID23,0.0
Autoregressive IL (IVT),VID25,0.0
Autoregressive IL (IVT),VID50,0.0
Autoregressive IL (IVT),VID51,0.0
Autoregressive IL (IVT),VID66,0.0
Autoregressive IL (IVT),VID79,0.0
