Method,Video_ID,mAP_Percentage
Autoregressive IL,VID02,43.25305295739118
Autoregressive IL,VID06,47.58832341651685
Autoregressive IL,VID111,45.781293178650685
Autoregressive IL,VID14,34.35142294323908
Autoregressive IL,VID23,41.13451318324169
Autoregressive IL,VID25,62.70298513795706
Autoregressive IL,VID50,52.51583050708625
Autoregressive IL,VID51,44.29937244592671
Autoregressive IL,VID66,62.92837609339351
Autoregressive IL,VID79,39.22602182107021
Autoregressive IL (IVT),VID02,0.0
Autoregressive IL (IVT),VID06,0.0
Autoregressive IL (IVT),VID111,0.0
Autoregressive IL (IVT),VID14,0.0
Autoregressive IL (IVT),VID23,0.0
Autoregressive IL (IVT),VID25,0.0
Autoregressive IL (IVT),VID50,0.0
Autoregressive IL (IVT),VID51,0.0
Autoregressive IL (IVT),VID66,0.0
Autoregressive IL (IVT),VID79,0.0
